id,per_square_meter_price
COL_289284,32264.21864941974
COL_289305,57630.50146599383
COL_289318,59163.531730213035
COL_289354,68220.18810030486
COL_289399,79828.27314069774
COL_289428,46786.521530464
COL_289460,58040.29741246408
COL_289493,51925.884386029735
COL_289495,62841.87805044251
COL_289749,47636.949659631224
COL_289763,167575.61921204263
COL_289778,58136.53107500102
COL_289801,25352.277629188084
COL_289971,36421.579648851235
COL_290143,59637.59278642917
COL_290169,165784.63367683705
COL_290252,26612.660350020717
COL_290336,32971.48611987539
COL_290398,44640.59917076912
COL_290403,58658.038149526976
COL_290431,25410.371396863742
COL_290466,66044.55843264975
COL_290486,70306.1864315077
COL_290497,27498.87072501639
COL_290510,65053.42219554772
COL_290559,46078.33340282843
COL_290600,126150.08546623892
COL_290602,132806.2526319046
COL_290716,61180.68853001143
COL_290717,17951.24003792868
COL_290876,42497.69003389676
COL_290966,43176.028821116066
COL_291008,32599.068233604867
COL_291021,234623.93574813934
COL_291043,63357.601940078945
COL_291190,60463.794094445555
COL_291192,46336.88866526687
COL_291274,41663.45639291031
COL_291284,59289.227754470114
COL_291397,36252.75031671729
COL_291450,61716.77733324171
COL_291738,102218.12021876907
COL_291740,32734.333959792133
COL_291825,26321.56288519918
COL_291900,46349.541137301996
COL_292045,50065.62837294872
COL_292135,49793.581675105226
COL_292258,26521.802565125443
COL_292275,22679.719880655
COL_292279,74004.38405458335
COL_292364,51838.20693177566
COL_292417,30104.009707425805
COL_292421,62704.647360342584
COL_292501,46188.0338638616
COL_292654,116579.68827997979
COL_292906,59946.186268442514
COL_292926,25298.088323425727
COL_293123,109229.97995654526
COL_293135,33019.464662006736
COL_293496,62287.66896301073
COL_293497,49681.582145822744
COL_293588,315393.59649977065
COL_293614,150600.55524899065
COL_293631,63045.257591009155
COL_293703,36276.41520052249
COL_293773,34282.7723565131
COL_293780,51628.93609622385
COL_293783,28370.536268643773
COL_293826,36412.51563220871
COL_293889,63179.439230305514
COL_293952,58545.08092429778
COL_293956,31981.322486017874
COL_294068,61524.722803930825
COL_294101,54257.284127806575
COL_294115,47659.92897919368
COL_294143,46710.69951702773
COL_294200,38283.33742567164
COL_294245,26478.284043884265
COL_294261,24580.281308935308
COL_294293,52523.08137383937
COL_294300,60038.6805816817
COL_294350,36469.690514208945
COL_294488,55256.31898539569
COL_294525,67799.21565405201
COL_294553,63882.08666560565
COL_294558,51658.57766844439
COL_294593,56575.027337829866
COL_294691,75397.80085098709
COL_294716,30266.552027571437
COL_294729,52362.108514849584
COL_294785,82967.20689790396
COL_294917,50404.28562859008
COL_294951,11107.770224832828
COL_294975,44111.94627235902
COL_295255,38225.05742881463
COL_295327,9772.738919801192
COL_295509,32289.82244247256
COL_295595,75580.07629301643
COL_296322,41977.46186320068
COL_296509,21469.827239146198
COL_296521,112199.43170915789
COL_296756,35566.17966844517
COL_296901,48550.07012036039
COL_297293,29914.0087484359
COL_297324,43542.32452807495
COL_297326,68994.9519559731
COL_297329,44158.951912330296
COL_297441,41742.92289147192
COL_297472,37679.44718866616
COL_297631,53851.30728073287
COL_297815,73225.13662405207
COL_298020,36345.18589638611
COL_298046,43956.98979955276
COL_298052,33993.85129953812
COL_298055,100810.36141793264
COL_298064,38549.83797498601
COL_298075,55737.29960723878
COL_298099,39067.6232267707
COL_298101,50964.11428256363
COL_298102,37289.01669592668
COL_298103,37289.01669592668
COL_298104,38761.21744530032
COL_298261,47961.57334645601
COL_298459,260103.43707727833
COL_298471,43734.62781837476
COL_298481,68194.77071280457
COL_298516,63254.179162682085
COL_298532,38996.503186501715
COL_298539,48931.78061186763
COL_298593,204457.79600603328
COL_298719,30357.28117652744
COL_298724,38607.77622746664
COL_298733,52244.12320281
COL_298817,67358.89853888233
COL_298837,52991.40564609663
COL_298968,202141.2163396423
COL_299209,77780.8679906558
COL_299221,236496.49646599064
COL_299361,37146.549419354895
COL_299366,43773.87601546319
COL_299450,70184.9682312811
COL_299454,60150.414265298605
COL_299455,59346.915946802925
COL_299459,61253.355954302504
COL_299464,47138.460954130394
COL_299468,53164.03840557344
COL_299486,61667.69450645916
COL_299491,68262.87224077847
COL_299497,52483.53405959525
COL_299499,34518.63710968026
COL_299501,61219.57493295749
COL_299540,40601.38288677047
COL_299615,68482.10355369587
COL_299659,270757.99418531416
COL_299678,139902.70581399024
COL_299795,34610.51829834545
COL_299818,49093.791858572295
COL_299819,64233.88116467881
COL_299820,66482.13567948794
COL_299960,39405.10596091563
COL_300095,60076.830049696
COL_300108,146965.3132899013
COL_300125,31923.777603907703
COL_300144,227002.47321566148
COL_300225,44562.29856088197
COL_300305,204771.84928916686
COL_300423,34987.437090943946
COL_300491,31027.091510419486
COL_300562,40006.515281328466
COL_300747,35915.25938280951
COL_300816,58822.25914313382
COL_300942,57436.45805784711
COL_300959,45358.1104703623
COL_300962,58768.8313074537
COL_301220,32642.882734742005
COL_301285,49720.61957834986
COL_301290,52628.260102616245
COL_301303,56253.85020713089
COL_301367,30869.94963894315
COL_301368,31819.912230572867
COL_301378,71375.85047774401
COL_301401,63337.77963786986
COL_301444,19032.910017804177
COL_301445,51027.35705726252
COL_301574,118002.0465704691
COL_301649,29951.145979415895
COL_301669,54290.43880729779
COL_301670,41972.59821737912
COL_301679,41868.73212555546
COL_301709,41387.23479484516
COL_301757,125777.55819617619
COL_301819,30478.35896714455
COL_301820,37001.86922690893
COL_301821,41231.29949738942
COL_301822,37188.962083928716
COL_301823,36174.322077203266
COL_301843,32884.64932440114
COL_301976,54486.23270130385
COL_301986,31986.860130126537
COL_302097,62217.28632754646
COL_302111,58240.35750793681
COL_302139,53304.58206720995
COL_302293,54427.25043527011
COL_302294,35831.894275990904
COL_302428,59395.21154288489
COL_302465,30792.078502759872
COL_302497,93219.67027542867
COL_302548,34187.65758000891
COL_302597,46646.37405599687
COL_302726,58139.884075208814
COL_302745,56788.71264235251
COL_302873,55189.382145277654
COL_302926,50534.65783845451
COL_302986,39335.336897929934
COL_302987,38715.44088413295
COL_302994,69195.41583612454
COL_303002,66868.54163992882
COL_303004,38531.31407237522
COL_303007,37025.47324896276
COL_303069,50727.1727739608
COL_303147,27738.885787968553
COL_303265,43014.904915407795
COL_303285,61518.988293784285
COL_303366,32308.14004524041
COL_303405,113619.28109147494
COL_303564,64481.513933231065
COL_303569,22724.54592315152
COL_303618,64613.91994700621
COL_303623,50715.466571483856
COL_303624,50715.466571483856
COL_303625,48247.466521307215
COL_303626,39193.85333008472
COL_303627,49455.89101279862
COL_303637,29223.004163002508
COL_303638,43923.115199353626
COL_304041,40197.887308588666
COL_304147,504873.1959457398
COL_304255,228354.05438127258
COL_304280,79574.22894385883
COL_304320,47068.5873471727
COL_304322,52104.58349635522
COL_304323,32570.537515212225
COL_304324,21574.506612978897
COL_304325,32570.537515212225
COL_304367,33892.65965418548
COL_304546,52934.86012296823
COL_304550,55832.43370747598
COL_304552,72027.31214080028
COL_304561,39265.564335909075
COL_304585,62247.68272507974
COL_304853,66138.22153414745
COL_304902,31438.306141415673
COL_304978,58033.90679591571
COL_304984,33951.65696233681
COL_305002,68410.14372514184
COL_305017,52343.442083844355
COL_305038,33302.74830431993
COL_305057,37333.32653813802
COL_305058,38087.35202201439
COL_305059,38087.35202201439
COL_305114,368701.77186068083
COL_305373,83501.50036289002
COL_305382,65506.414925331665
COL_305383,63804.25264148798
COL_305384,66914.98472309798
COL_305385,66914.98472309798
COL_305386,66385.91174778531
COL_305387,66887.21419903045
COL_305388,64865.489377212536
COL_305413,51288.34941655146
COL_305607,58262.87884034133
COL_305652,62113.0460155825
COL_305726,136151.12924308245
COL_305896,82074.2690946868
COL_305924,46862.53695280723
COL_305926,46862.53695280723
COL_306033,66361.53086600466
COL_306088,79699.70280871128
COL_306141,30239.036801948143
COL_306143,42414.66653483653
COL_306144,46807.22088928917
COL_306151,57464.33945639869
COL_306153,50992.655505339215
COL_306154,48433.350751030615
COL_306155,36211.14462449585
COL_306206,54009.59053268307
COL_306621,51023.670080039126
COL_306728,51549.454766626455
COL_306758,37486.03758845574
COL_306763,68858.57026888887
COL_306803,40243.57864619027
COL_306853,38253.94634879146
COL_306892,38682.232975426836
COL_306938,65644.71806008038
COL_307001,67621.01967985719
COL_307043,59841.056513802854
COL_307158,56076.93152864032
COL_307269,62025.79950847592
COL_307356,53866.567793066664
COL_307480,50769.74449809487
COL_307529,76869.61186841177
COL_307623,44217.88588870744
COL_307819,46164.939702412914
COL_307874,49146.82109654656
COL_307945,61713.96170683349
COL_307986,51633.39715897922
COL_308206,53421.41514230889
COL_308211,43607.74619542729
COL_308429,57487.360704750114
COL_308446,33940.885547260164
COL_308472,61933.164677896224
COL_308486,75363.54559255525
COL_308492,77504.76688077796
COL_308493,74466.51787664225
COL_308743,43097.02497166372
COL_308803,43872.117286294364
COL_308813,72849.6088397753
COL_308963,47479.44921817367
COL_308966,21106.54813134937
COL_309079,36888.520783132466
COL_309121,43417.407057603086
COL_309434,53309.169429580936
COL_309612,41994.19720835352
COL_309635,17768.956283425814
COL_309640,51092.40724405902
COL_309642,28067.924257648632
COL_309784,35651.4094332211
COL_310093,35532.87789899926
COL_310107,35532.87789899926
COL_310164,53366.74787878972
COL_310207,49512.734485115274
COL_310218,46429.55675625222
COL_310311,44785.896051507625
COL_310315,48238.573092066625
COL_310359,59820.32259379462
COL_310405,57684.61828411328
COL_310447,86236.29777085145
COL_310503,43513.75478561171
COL_310570,40732.7319380975
